"CountryID";"CountryName";"debutYear"
1;"Belgium";1956
2;"France";1956
3;"Germany";1956
4;"Italy";1956
5;"Luxembourg";1956
6;"Netherlands";1956
7;"Switzerland";1956
8;"Austria";1957
9;"Denmark";1957
10;"United Kingdom";1957
11;"Sweden";1958
12;"Monaco";1959
13;"Norway";1960
14;"Finland";1961
15;"Spain";1961
16;"Yugoslavia";1961
17;"Portugal";1964
18;"Ireland";1965
19;"Malta";1971
20;"Israel";1973
21;"Greece";1974
22;"Turkey";1975
23;"Morocco";1980
24;"Cyprus";1981
25;"Iceland";1986
26;"Bosnia and Herzegovina";1993
27;"Croatia";1993
28;"Slovenia";1993
29;"Estonia";1994
30;"Hungary";1994
31;"Lithuania";1994
32;"Poland";1994
33;"Romania";1994
34;"Russia";1994
35;"Slovakia";1994
36;"North Macedonia";1998
37;"Latvia";2000
38;"Ukraine";2003
39;"Albania";2004
40;"Andorra";2004
41;"Belarus";2004
42;"Serbia and Montenegro";2004
43;"Bulgaria";2005
44;"Moldova";2005
45;"Armenia";2006
46;"Czechia";2007
47;"Georgia";2007
48;"Montenegro";2007
49;"Serbia";2007
50;"Azerbaijan";2008
51;"San Marino";2008
52;"Australia";2015
